province,confirmed,date
경북,2,2020-08-23
,,
전남,14,2020-08-23
,,
전북,0,2020-08-23
,,
충남,10,2020-08-23
,,
충북,3,2020-08-23
,,
강원,15,2020-08-23
,,
경기,125,2020-08-23
,,
세종,0,2020-08-23
,,
울산,3,2020-08-23
,,
대전,15,2020-08-23
,,
광주,17,2020-08-23
,,
인천,32,2020-08-23
,,
대구,6,2020-08-23
,,
부산,2,2020-08-23
,,
서울,140,2020-08-23
,,
합계,397,2020-08-23
,,
검역,4,2020-08-22
,,
제주,2,2020-08-22
,,
경남,9,2020-08-22
,,
경북,4,2020-08-22
,,
전남,7,2020-08-22
,,
전북,4,2020-08-22
,,
충남,7,2020-08-22
,,
충북,2,2020-08-22
,,
강원,16,2020-08-22
,,
경기,95,2020-08-22
,,
세종,1,2020-08-22
,,
울산,3,2020-08-22
,,
대전,5,2020-08-22
,,
광주,11,2020-08-22
,,
인천,22,2020-08-22
,,
대구,9,2020-08-22
,,
부산,3,2020-08-22
,,
서울,128,2020-08-22
,,
합계,332,2020-08-22
,,
검역,3,2020-08-21
,,
제주,0,2020-08-21
,,
경남,4,2020-08-21
,,
경북,6,2020-08-21
,,
전남,6,2020-08-21
,,
전북,5,2020-08-21
,,
충남,13,2020-08-21
,,
충북,3,2020-08-21
,,
강원,9,2020-08-21
,,
경기,103,2020-08-21
,,
세종,3,2020-08-21
,,
울산,1,2020-08-21
,,
대전,7,2020-08-21
,,
광주,5,2020-08-21
,,
인천,18,2020-08-21
,,
대구,4,2020-08-21
,,
부산,8,2020-08-21
,,
서울,126,2020-08-21
,,
합계,324,2020-08-21
,,
검역,2,2020-08-20
,,
제주,0,2020-08-20
,,
경남,3,2020-08-20
,,
경북,5,2020-08-20
,,
전남,3,2020-08-20
,,
전북,6,2020-08-20
,,
충남,5,2020-08-20
,,
충북,1,2020-08-20
,,
강원,5,2020-08-20
,,
경기,85,2020-08-20
,,
세종,1,2020-08-20
,,
울산,0,2020-08-20
,,
대전,8,2020-08-20
,,
광주,1,2020-08-20
,,
인천,10,2020-08-20
,,
대구,3,2020-08-20
,,
부산,15,2020-08-20
,,
서울,135,2020-08-20
,,
합계,288,2020-08-20
,,
검역,2,2020-08-19
,,
제주,0,2020-08-19
,,
경남,1,2020-08-19
,,
경북,3,2020-08-19
,,
전남,2,2020-08-19
,,
전북,1,2020-08-19
,,
충남,3,2020-08-19
,,
충북,2,2020-08-19
,,
강원,6,2020-08-19
,,
경기,99,2020-08-19
,,
세종,2,2020-08-19
,,
울산,0,2020-08-19
,,
대전,0,2020-08-19
,,
광주,6,2020-08-19
,,
인천,8,2020-08-19
,,
대구,2,2020-08-19
,,
부산,9,2020-08-19
,,
서울,151,2020-08-19
,,
합계,297,2020-08-19
,,
검역,6,2020-08-18
,,
제주,0,2020-08-18
,,
경남,0,2020-08-18
,,
경북,3,2020-08-18
,,
전남,0,2020-08-18
,,
전북,7,2020-08-18
,,
충남,5,2020-08-18
,,
충북,1,2020-08-18
,,
강원,2,2020-08-18
,,
경기,52,2020-08-18
,,
세종,0,2020-08-18
,,
울산,3,2020-08-18
,,
대전,0,2020-08-18
,,
광주,4,2020-08-18
,,
인천,18,2020-08-18
,,
대구,6,2020-08-18
,,
부산,7,2020-08-18
,,
서울,132,2020-08-18
,,
합계,246,2020-08-18
,,
검역,2,2020-08-17
,,
제주,0,2020-08-17
,,
경남,0,2020-08-17
,,
경북,2,2020-08-17
,,
전남,0,2020-08-17
,,
전북,1,2020-08-17
,,
충남,4,2020-08-17
,,
충북,3,2020-08-17
,,
강원,1,2020-08-17
,,
경기,70,2020-08-17
,,
세종,0,2020-08-17
,,
울산,0,2020-08-17
,,
대전,2,2020-08-17
,,
광주,7,2020-08-17
,,
인천,7,2020-08-17
,,
대구,1,2020-08-17
,,
부산,7,2020-08-17
,,
서울,90,2020-08-17
,,
합계,197,2020-08-17
,,
검역,0,2020-08-16
,,
제주,0,2020-08-16
,,
경남,2,2020-08-16
,,
경북,0,2020-08-16
,,
전남,0,2020-08-16
,,
전북,0,2020-08-16
,,
충남,5,2020-08-16
,,
충북,1,2020-08-16
,,
강원,0,2020-08-16
,,
경기,98,2020-08-16
,,
세종,0,2020-08-16
,,
울산,3,2020-08-16
,,
대전,0,2020-08-16
,,
광주,7,2020-08-16
,,
인천,9,2020-08-16
,,
대구,1,2020-08-16
,,
부산,7,2020-08-16
,,
서울,146,2020-08-16
,,
합계,279,2020-08-16
,,
검역,2,2020-08-15
,,
제주,0,2020-08-15
,,
경남,1,2020-08-15
,,
경북,0,2020-08-15
,,
전남,0,2020-08-15
,,
전북,1,2020-08-15
,,
충남,2,2020-08-15
,,
충북,0,2020-08-15
,,
강원,3,2020-08-15
,,
경기,72,2020-08-15
,,
세종,0,2020-08-15
,,
울산,0,2020-08-15
,,
대전,1,2020-08-15
,,
광주,1,2020-08-15
,,
인천,6,2020-08-15
,,
대구,0,2020-08-15
,,
부산,3,2020-08-15
,,
서울,74,2020-08-15
,,
합계,166,2020-08-15
,,
검역,7,2020-08-14
,,
제주,0,2020-08-14
,,
경남,0,2020-08-14
,,
경북,1,2020-08-14
,,
전남,0,2020-08-14
,,
전북,0,2020-08-14
,,
충남,3,2020-08-14
,,
충북,0,2020-08-14
,,
강원,1,2020-08-14
,,
경기,47,2020-08-14
,,
세종,0,2020-08-14
,,
울산,1,2020-08-14
,,
대전,0,2020-08-14
,,
광주,2,2020-08-14
,,
인천,4,2020-08-14
,,
대구,0,2020-08-14
,,
부산,5,2020-08-14
,,
서울,32,2020-08-14
,,
합계,103,2020-08-14
,,
검역,3,2020-08-13
,,
제주,0,2020-08-13
,,
경남,1,2020-08-13
,,
경북,0,2020-08-13
,,
전남,0,2020-08-13
,,
전북,2,2020-08-13
,,
충남,1,2020-08-13
,,
충북,0,2020-08-13
,,
강원,0,2020-08-13
,,
경기,17,2020-08-13
,,
세종,0,2020-08-13
,,
울산,1,2020-08-13
,,
대전,0,2020-08-13
,,
광주,2,2020-08-13
,,
인천,0,2020-08-13
,,
대구,1,2020-08-13
,,
부산,2,2020-08-13
,,
서울,26,2020-08-13
,,
합계,56,2020-08-13
,,
검역,8,2020-08-12
,,
제주,0,2020-08-12
,,
경남,0,2020-08-12
,,
경북,0,2020-08-12
,,
전남,0,2020-08-12
,,
전북,0,2020-08-12
,,
충남,1,2020-08-12
,,
충북,0,2020-08-12
,,
강원,0,2020-08-12
,,
경기,19,2020-08-12
,,
세종,0,2020-08-12
,,
울산,0,2020-08-12
,,
대전,1,2020-08-12
,,
광주,6,2020-08-12
,,
인천,0,2020-08-12
,,
대구,0,2020-08-12
,,
부산,4,2020-08-12
,,
서울,15,2020-08-12
,,
합계,54,2020-08-12
,,
검역,3,2020-08-11
,,
제주,0,2020-08-11
,,
경남,0,2020-08-11
,,
경북,0,2020-08-11
,,
전남,0,2020-08-11
,,
전북,1,2020-08-11
,,
충남,2,2020-08-11
,,
충북,0,2020-08-11
,,
강원,0,2020-08-11
,,
경기,13,2020-08-11
,,
세종,0,2020-08-11
,,
울산,0,2020-08-11
,,
대전,0,2020-08-11
,,
광주,0,2020-08-11
,,
인천,0,2020-08-11
,,
대구,0,2020-08-11
,,
부산,9,2020-08-11
,,
서울,6,2020-08-11
,,
합계,34,2020-08-11
,,
검역,6,2020-08-10
,,
제주,0,2020-08-10
,,
경남,0,2020-08-10
,,
경북,1,2020-08-10
,,
전남,1,2020-08-10
,,
전북,0,2020-08-10
,,
충남,0,2020-08-10
,,
충북,0,2020-08-10
,,
강원,0,2020-08-10
,,
경기,6,2020-08-10
,,
세종,0,2020-08-10
,,
울산,0,2020-08-10
,,
대전,0,2020-08-10
,,
광주,0,2020-08-10
,,
인천,0,2020-08-10
,,
대구,0,2020-08-10
,,
부산,1,2020-08-10
,,
서울,13,2020-08-10
,,
합계,28,2020-08-10
,,
검역,1,2020-08-09
,,
제주,0,2020-08-09
,,
경남,0,2020-08-09
,,
경북,0,2020-08-09
,,
전남,0,2020-08-09
,,
전북,0,2020-08-09
,,
충남,1,2020-08-09
,,
충북,1,2020-08-09
,,
강원,0,2020-08-09
,,
경기,15,2020-08-09
,,
세종,0,2020-08-09
,,
울산,1,2020-08-09
,,
대전,0,2020-08-09
,,
광주,2,2020-08-09
,,
인천,1,2020-08-09
,,
대구,1,2020-08-09
,,
부산,0,2020-08-09
,,
서울,13,2020-08-09
,,
합계,36,2020-08-09
,,
검역,5,2020-08-08
,,
제주,0,2020-08-08
,,
경남,0,2020-08-08
,,
경북,0,2020-08-08
,,
전남,0,2020-08-08
,,
전북,0,2020-08-08
,,
충남,0,2020-08-08
,,
충북,0,2020-08-08
,,
강원,0,2020-08-08
,,
경기,18,2020-08-08
,,
세종,0,2020-08-08
,,
울산,0,2020-08-08
,,
대전,0,2020-08-08
,,
광주,0,2020-08-08
,,
인천,2,2020-08-08
,,
대구,1,2020-08-08
,,
부산,0,2020-08-08
,,
서울,17,2020-08-08
,,
합계,43,2020-08-08
,,
검역,5,2020-08-07
,,
제주,0,2020-08-07
,,
경남,0,2020-08-07
,,
경북,1,2020-08-07
,,
전남,0,2020-08-07
,,
전북,0,2020-08-07
,,
충남,0,2020-08-07
,,
충북,0,2020-08-07
,,
강원,0,2020-08-07
,,
경기,5,2020-08-07
,,
세종,0,2020-08-07
,,
울산,0,2020-08-07
,,
대전,0,2020-08-07
,,
광주,0,2020-08-07
,,
인천,0,2020-08-07
,,
대구,0,2020-08-07
,,
부산,0,2020-08-07
,,
서울,9,2020-08-07
,,
합계,20,2020-08-07
,,
검역,6,2020-08-06
,,
제주,0,2020-08-06
,,
경남,1,2020-08-06
,,
경북,4,2020-08-06
,,
전남,2,2020-08-06
,,
전북,0,2020-08-06
,,
충남,2,2020-08-06
,,
충북,1,2020-08-06
,,
강원,2,2020-08-06
,,
경기,13,2020-08-06
,,
세종,0,2020-08-06
,,
울산,0,2020-08-06
,,
대전,0,2020-08-06
,,
광주,0,2020-08-06
,,
인천,0,2020-08-06
,,
대구,0,2020-08-06
,,
부산,3,2020-08-06
,,
서울,9,2020-08-06
,,
합계,43,2020-08-06
,,
검역,6,2020-08-06
,,
제주,0,2020-08-06
,,
경남,1,2020-08-06
,,
경북,4,2020-08-06
,,
전남,2,2020-08-06
,,
전북,0,2020-08-06
,,
충남,2,2020-08-06
,,
충북,1,2020-08-06
,,
강원,2,2020-08-06
,,
경기,13,2020-08-06
,,
세종,0,2020-08-06
,,
울산,0,2020-08-06
,,
대전,0,2020-08-06
,,
광주,0,2020-08-06
,,
인천,0,2020-08-06
,,
대구,0,2020-08-06
,,
부산,3,2020-08-06
,,
서울,9,2020-08-06
,,
합계,43,2020-08-06
,,
검역,6,2020-08-05
,,
제주,0,2020-08-05
,,
경남,4,2020-08-05
,,
경북,0,2020-08-05
,,
전남,0,2020-08-05
,,
전북,0,2020-08-05
,,
충남,0,2020-08-05
,,
충북,6,2020-08-05
,,
강원,1,2020-08-05
,,
경기,7,2020-08-05
,,
세종,0,2020-08-05
,,
울산,0,2020-08-05
,,
대전,0,2020-08-05
,,
광주,1,2020-08-05
,,
인천,1,2020-08-05
,,
대구,1,2020-08-05
,,
부산,0,2020-08-05
,,
서울,6,2020-08-05
,,
합계,33,2020-08-05
,,
검역,7,2020-08-04
,,
제주,0,2020-08-04
,,
경남,0,2020-08-04
,,
경북,1,2020-08-04
,,
전남,1,2020-08-04
,,
전북,0,2020-08-04
,,
충남,0,2020-08-04
,,
충북,1,2020-08-04
,,
강원,0,2020-08-04
,,
경기,11,2020-08-04
,,
세종,0,2020-08-04
,,
울산,0,2020-08-04
,,
대전,0,2020-08-04
,,
광주,2,2020-08-04
,,
인천,1,2020-08-04
,,
대구,0,2020-08-04
,,
부산,1,2020-08-04
,,
서울,9,2020-08-04
,,
합계,34,2020-08-04
,,
검역,14,2020-08-03
,,
제주,0,2020-08-03
,,
경남,2,2020-08-03
,,
경북,1,2020-08-03
,,
전남,0,2020-08-03
,,
전북,0,2020-08-03
,,
충남,0,2020-08-03
,,
충북,0,2020-08-03
,,
강원,0,2020-08-03
,,
경기,1,2020-08-03
,,
세종,0,2020-08-03
,,
울산,0,2020-08-03
,,
대전,0,2020-08-03
,,
광주,0,2020-08-03
,,
인천,0,2020-08-03
,,
대구,0,2020-08-03
,,
부산,0,2020-08-03
,,
서울,5,2020-08-03
,,
합계,23,2020-08-03
,,
검역,17,2020-08-02
,,
제주,0,2020-08-02
,,
경남,0,2020-08-02
,,
경북,1,2020-08-02
,,
전남,0,2020-08-02
,,
전북,0,2020-08-02
,,
충남,0,2020-08-02
,,
