ages,confirmed,date
0-9,261,2020-08-09
10-19,803,2020-08-09
20-29,3671,2020-08-09
30-39,1854,2020-08-09
40-49,1971,2020-08-09
50-59,2573,2020-08-09
60-69,1905,2020-08-09
70-79,957,2020-08-09
80-,603,2020-08-09
0-9,257,2020-08-08
10-19,802,2020-08-08
20-29,3664,2020-08-08
30-39,1849,2020-08-08
40-49,1968,2020-08-08
50-59,2566,2020-08-08
60-69,1898,2020-08-08
70-79,957,2020-08-08
80-,601,2020-08-08
0-9,256,2020-08-07
10-19,801,2020-08-07
20-29,3657,2020-08-07
30-39,1845,2020-08-07
40-49,1964,2020-08-07
50-59,2556,2020-08-07
60-69,1885,2020-08-07
70-79,954,2020-08-07
80-,601,2020-08-07
0-9,256,2020-08-06
10-19,797,2020-08-06
20-29,3654,2020-08-06
30-39,1844,2020-08-06
40-49,1959,2020-08-06
50-59,2554,2020-08-06
60-69,1880,2020-08-06
70-79,954,2020-08-06
80-,601,2020-08-06
0-9,256,2020-08-05
10-19,793,2020-08-05
20-29,3641,2020-08-05
30-39,1841,2020-08-05
40-49,1956,2020-08-05
50-59,2546,2020-08-05
60-69,1871,2020-08-05
70-79,951,2020-08-05
80-,601,2020-08-05
0-9,255,2020-08-04
10-19,790,2020-08-04
20-29,3635,2020-08-04
30-39,1834,2020-08-04
40-49,1952,2020-08-04
50-59,2540,2020-08-04
60-69,1866,2020-08-04
70-79,950,2020-08-04
80-,601,2020-08-04
0-9,251,2020-08-03
10-19,785,2020-08-03
20-29,3629,2020-08-03
30-39,1829,2020-08-03
40-49,1946,2020-08-03
50-59,2536,2020-08-03
60-69,1864,2020-08-03
70-79,950,2020-08-03
80-,599,2020-08-03
0-9,249,2020-08-02
10-19,782,2020-08-02
20-29,3625,2020-08-02
30-39,1826,2020-08-02
40-49,1944,2020-08-02
50-59,2532,2020-08-02
60-69,1860,2020-08-02
70-79,949,2020-08-02
80-,599,2020-08-02
0-9,247,2020-08-01
10-19,782,2020-08-01
20-29,3620,2020-08-01
30-39,1819,2020-08-01
40-49,1936,2020-08-01
50-59,2528,2020-08-01
60-69,1858,2020-08-01
70-79,948,2020-08-01
80-,598,2020-08-01
0-9,246,2020-07-31
10-19,782,2020-07-31
20-29,3620,2020-07-31
30-39,1809,2020-07-31
40-49,1930,2020-07-31
50-59,2520,2020-07-31
60-69,1853,2020-07-31
70-79,947,2020-07-31
80-,598,2020-07-31
0-9,245,2020-07-30
10-19,782,2020-07-30
20-29,3615,2020-07-30
30-39,1796,2020-07-30
40-49,1922,2020-07-30
50-59,2516,2020-07-30
60-69,1850,2020-07-30
70-79,946,2020-07-30
80-,597,2020-07-30
0-9,245,2020-07-29
10-19,782,2020-07-29
20-29,3613,2020-07-29
30-39,1790,2020-07-29
40-49,1918,2020-07-29
50-59,2516,2020-07-29
60-69,1844,2020-07-29
70-79,946,2020-07-29
80-,597,2020-07-29
0-9,245,2020-07-28
10-19,781,2020-07-28
20-29,3607,2020-07-28
30-39,1774,2020-07-28
40-49,1907,2020-07-28
50-59,2511,2020-07-28
60-69,1840,2020-07-28
70-79,941,2020-07-28
80-,597,2020-07-28
0-9,243,2020-07-27
10-19,779,2020-07-27
20-29,3603,2020-07-27
30-39,1770,2020-07-27
40-49,1900,2020-07-27
50-59,2506,2020-07-27
60-69,1837,2020-07-27
70-79,940,2020-07-27
80-,597,2020-07-27
0-9,242,2020-07-26
10-19,778,2020-07-26
20-29,3598,2020-07-26
30-39,1763,2020-07-26
40-49,1897,2020-07-26
50-59,2505,2020-07-26
60-69,1835,2020-07-26
70-79,936,2020-07-26
80-,596,2020-07-26
0-9,242,2020-07-25
10-19,778,2020-07-25
20-29,3594,2020-07-25
30-39,1750,2020-07-25
40-49,1882,2020-07-25
50-59,2487,2020-07-25
60-69,1830,2020-07-25
70-79,935,2020-07-25
80-,594,2020-07-25
0-9,241,2020-07-24
10-19,777,2020-07-24
20-29,3581,2020-07-24
30-39,1712,2020-07-24
40-49,1848,2020-07-24
50-59,2473,2020-07-24
60-69,1822,2020-07-24
70-79,933,2020-07-24
80-,592,2020-07-24
0-9,240,2020-07-23
10-19,776,2020-07-23
20-29,3578,2020-07-23
30-39,1707,2020-07-23
40-49,1842,2020-07-23
50-59,2465,2020-07-23
60-69,1811,2020-07-23
70-79,929,2020-07-23
80-,590,2020-07-23
0-9,240,2020-07-22
10-19,772,2020-07-22
20-29,3559,2020-07-22
30-39,1704,2020-07-22
40-49,1834,2020-07-22
50-59,2453,2020-07-22
60-69,1802,2020-07-22
70-79,925,2020-07-22
80-,590,2020-07-22
0-9,240,2020-07-21
10-19,765,2020-07-21
20-29,3551,2020-07-21
30-39,1696,2020-07-21
40-49,1824,2020-07-21
50-59,2444,2020-07-21
60-69,1791,2020-07-21
70-79,919,2020-07-21
80-,586,2020-07-21
0-9,239,2020-07-20
10-19,764,2020-07-20
20-29,3539,2020-07-20
30-39,1688,2020-07-20
40-49,1821,2020-07-20
50-59,2439,2020-07-20
60-69,1788,2020-07-20
70-79,911,2020-07-20
80-,582,2020-07-20
0-9,237,2020-07-19
10-19,762,2020-07-19
20-29,3531,2020-07-19
30-39,1684,2020-07-19
40-49,1817,2020-07-19
50-59,2435,2020-07-19
60-69,1787,2020-07-19
70-79,911,2020-07-19
80-,581,2020-07-19
0-9,234,2020-07-18
10-19,760,2020-07-18
20-29,3527,2020-07-18
30-39,1674,2020-07-18
40-49,1814,2020-07-18
50-59,2432,2020-07-18
60-69,1781,2020-07-18
70-79,909,2020-07-18
80-,580,2020-07-18
0-9,231,2020-07-17
10-19,756,2020-07-17
20-29,3517,2020-07-17
30-39,1669,2020-07-17
40-49,1805,2020-07-17
50-59,2425,2020-07-17
60-69,1781,2020-07-17
70-79,908,2020-07-17
80-,580,2020-07-17
0-9,221,2020-07-16
10-19,752,2020-07-16
20-29,3491,2020-07-16
30-39,1632,2020-07-16
40-49,1773,2020-07-16
50-59,2402,2020-07-16
60-69,1762,2020-07-16
70-79,902,2020-07-16
80-,577,2020-07-16
0-9,222,2020-07-15
10-19,753,2020-07-15
20-29,3495,2020-07-15
30-39,1640,2020-07-15
40-49,1782,2020-07-15
50-59,2411,2020-07-15
60-69,1769,2020-07-15
70-79,902,2020-07-15
80-,577,2020-07-15
0-9,221,2020-07-14
10-19,752,2020-07-14
20-29,3491,2020-07-14
30-39,1632,2020-07-14
40-49,1773,2020-07-14
50-59,2402,2020-07-14
60-69,1762,2020-07-14
70-79,902,2020-07-14
80-,577,2020-07-14
0-9,219,2020-07-13
10-19,750,2020-07-13
20-29,3485,2020-07-13
30-39,1627,2020-07-13
40-49,1770,2020-07-13
50-59,2396,2020-07-13
60-69,1758,2020-07-13
70-79,898,2020-07-13
80-,576,2020-07-13
0-9,216,2020-07-12
10-19,746,2020-07-12
20-29,3467,2020-07-12
30-39,1612,2020-07-12
40-49,1761,2020-07-12
50-59,2392,2020-07-12
60-69,1753,2020-07-12
70-79,895,2020-07-12
80-,575,2020-07-12
0-9,214,2020-07-11
10-19,740,2020-07-11
20-29,3463,2020-07-11
30-39,1599,2020-07-11
40-49,1756,2020-07-11
50-59,2389,2020-07-11
60-69,1744,2020-07-11
70-79,894,2020-07-11
80-,574,2020-07-11
0-9,213,2020-07-10
10-19,740,2020-07-10
20-29,3455,2020-07-10
30-39,1593,2020-07-10
40-49,1754,2020-07-10
50-59,2381,2020-07-10
60-69,1742,2020-07-10
70-79,890,2020-07-10
80-,570,2020-07-10
0-9,210,2020-07-09
10-19,737,2020-07-09
20-29,3445,2020-07-09
30-39,1584,2020-07-09
40-49,1749,2020-07-09
50-59,2373,2020-07-09
60-69,1739,2020-07-09
70-79,887,2020-07-09
80-,569,2020-07-09
0-9,208,2020-07-08
10-19,733,2020-07-08
20-29,3434,2020-07-08
30-39,1577,2020-07-08
40-49,1738,2020-07-08
50-59,2364,2020-07-08
60-69,1736,2020-07-08
70-79,886,2020-07-08
80-,568,2020-07-08
0-9,207,2020-07-07
10-19,730,2020-07-07
20-29,3423,2020-07-07
30-39,1566,2020-07-07
40-49,1723,2020-07-07
50-59,2354,2020-07-07
60-69,1731,2020-07-07
70-79,880,2020-07-07
80-,567,2020-07-07
0-9,206,2020-07-06
10-19,728,2020-07-06
20-29,3411,2020-07-06
30-39,1560,2020-07-06
40-49,1716,2020-07-06
50-59,2347,2020-07-06
60-69,1724,2020-07-06
70-79,878,2020-07-06
80-,567,2020-07-06
0-9,202,2020-07-05
10-19,727,2020-07-05
20-29,3404,2020-07-05
30-39,1550,2020-07-05
40-49,1710,2020-07-05
50-59,2338,2020-07-05
60-69,1720,2020-07-05
70-79,876,2020-07-05
80-,564,2020-07-05
0-9,199,2020-07-04
10-19,724,2020-07-04
20-29,3396,2020-07-04
30-39,1541,2020-07-04
40-49,1699,2020-07-04
50-59,2331,2020-07-04
60-69,1706,2020-07-04
70-79,870,2020-07-04
80-,564,2020-07-04
0-9,196,2020-07-03
10-19,722,2020-07-03
20-29,3384,2020-07-03
30-39,1525,2020-07-03
40-49,1691,2020-07-03
50-59,2323,2020-07-03
60-69,1697,2020-07-03
70-79,868,2020-07-03
80-,561,2020-07-03
0-9,194,2020-07-02
10-19,712,2020-07-02
20-29,3374,2020-07-02
30-39,1515,2020-07-02
40-49,1685,2020-07-02
50-59,2316,2020-07-02
60-69,1686,2020-07-02
70-79,864,2020-07-02
80-,558,2020-07-02
0-9,193,2020-07-01
10-19,708,2020-07-01
20-29,3362,2020-07-01
30-39,1496,2020-07-01
40-49,1681,2020-07-01
