ages,confirmed,date
0-9,141,2020-05-09
10-19,594,2020-05-09
20-29,2979,2020-05-09
30-39,1177,2020-05-09
40-49,1438,2020-05-09
50-59,1958,2020-05-09
60-69,1355,2020-05-09
70-79,710,2020-05-09
80-,488,2020-05-09
0-9,141,2020-05-08
10-19,592,2020-05-08
20-29,2967,2020-05-08
30-39,1174,2020-05-08
40-49,1438,2020-05-08
50-59,1957,2020-05-08
60-69,1355,2020-05-08
70-79,710,2020-05-08
80-,488,2020-05-08
0-9,140,2020-05-07
10-19,592,2020-05-07
20-29,2966,2020-05-07
30-39,1167,2020-05-07
40-49,1436,2020-05-07
50-59,1957,2020-05-07
60-69,1354,2020-05-07
70-79,710,2020-05-07
80-,488,2020-05-07
0-9,140,2020-05-06
10-19,591,2020-05-06
20-29,2964,2020-05-06
30-39,1166,2020-05-06
40-49,1436,2020-05-06
50-59,1957,2020-05-06
60-69,1354,2020-05-06
70-79,710,2020-05-06
80-,488,2020-05-06
0-9,140,2020-05-05
10-19,591,2020-05-05
20-29,2964,2020-05-05
30-39,1165,2020-05-05
40-49,1436,2020-05-05
50-59,1957,2020-05-05
60-69,1353,2020-05-05
70-79,710,2020-05-05
80-,488,2020-05-05
0-9,140,2020-05-04
10-19,591,2020-05-04
20-29,2964,2020-05-04
30-39,1164,2020-05-04
40-49,1435,2020-05-04
50-59,1956,2020-05-04
60-69,1353,2020-05-04
70-79,710,2020-05-04
80-,488,2020-05-04
0-9,140,2020-05-03
10-19,591,2020-05-03
20-29,2962,2020-05-03
30-39,1163,2020-05-03
40-49,1432,2020-05-03
50-59,1956,2020-05-03
60-69,1351,2020-05-03
70-79,710,2020-05-03
80-,488,2020-05-03
0-9,140,2020-05-02
10-19,590,2020-05-02
20-29,2960,2020-05-02
30-39,1160,2020-05-02
40-49,1430,2020-05-02
50-59,1956,2020-05-02
60-69,1349,2020-05-02
70-79,709,2020-05-02
80-,486,2020-05-02
0-9,140,2020-05-01
10-19,590,2020-05-01
20-29,2957,2020-05-01
30-39,1159,2020-05-01
40-49,1429,2020-05-01
50-59,1956,2020-05-01
60-69,1348,2020-05-01
70-79,709,2020-05-01
80-,486,2020-05-01
0-9,140,2020-04-30
10-19,590,2020-04-30
20-29,2952,2020-04-30
30-39,1158,2020-04-30
40-49,1427,2020-04-30
50-59,1956,2020-04-30
60-69,1348,2020-04-30
70-79,709,2020-04-30
80-,485,2020-04-30
0-9,140,2020-04-29
10-19,590,2020-04-29
20-29,2951,2020-04-29
30-39,1156,2020-04-29
40-49,1426,2020-04-29
50-59,1956,2020-04-29
60-69,1348,2020-04-29
70-79,709,2020-04-29
80-,485,2020-04-29
0-9,140,2020-04-28
10-19,590,2020-04-28
20-29,2948,2020-04-28
30-39,1154,2020-04-28
40-49,1423,2020-04-28
50-59,1955,2020-04-28
60-69,1348,2020-04-28
70-79,709,2020-04-28
80-,485,2020-04-28
0-9,140,2020-04-27
10-19,588,2020-04-27
20-29,2943,2020-04-27
30-39,1152,2020-04-27
40-49,1422,2020-04-27
50-59,1953,2020-04-27
60-69,1347,2020-04-27
70-79,708,2020-04-27
80-,485,2020-04-27
0-9,141,2020-04-26
10-19,586,2020-04-26
20-29,2940,2020-04-26
30-39,1147,2020-04-26
40-49,1421,2020-04-26
50-59,1953,2020-04-26
60-69,1347,2020-04-26
70-79,708,2020-04-26
80-,485,2020-04-26
0-9,139,2020-04-25
10-19,586,2020-04-25
20-29,2937,2020-04-25
30-39,1143,2020-04-25
40-49,1420,2020-04-25
50-59,1953,2020-04-25
60-69,1347,2020-04-25
70-79,708,2020-04-25
80-,485,2020-04-25
0-9,138,2020-04-24
10-19,585,2020-04-24
20-29,2934,2020-04-24
30-39,1142,2020-04-24
40-49,1418,2020-04-24
50-59,1953,2020-04-24
60-69,1345,2020-04-24
70-79,708,2020-04-24
80-,485,2020-04-24
0-9,138,2020-04-23
10-19,584,2020-04-23
20-29,2933,2020-04-23
30-39,1141,2020-04-23
40-49,1418,2020-04-23
50-59,1952,2020-04-23
60-69,1344,2020-04-23
70-79,708,2020-04-23
80-,484,2020-04-23
0-9,138,2020-04-22
10-19,583,2020-04-22
20-29,2931,2020-04-22
30-39,1140,2020-04-22
40-49,1417,2020-04-22
50-59,1951,2020-04-22
60-69,1344,2020-04-22
70-79,707,2020-04-22
80-,483,2020-04-22
0-9,138,2020-04-21
10-19,582,2020-04-21
20-29,2928,2020-04-21
30-39,1139,2020-04-21
40-49,1413,2020-04-21
50-59,1951,2020-04-21
60-69,1343,2020-04-21
70-79,706,2020-04-21
80-,483,2020-04-21
0-9,138,2020-04-20
10-19,581,2020-04-20
20-29,2926,2020-04-20
30-39,1139,2020-04-20
40-49,1412,2020-04-20
50-59,1948,2020-04-20
60-69,1343,2020-04-20
70-79,705,2020-04-20
80-,482,2020-04-20
0-9,138,2020-04-19
10-19,578,2020-04-19
20-29,2921,2020-04-19
30-39,1137,2020-04-19
40-49,1412,2020-04-19
50-59,1945,2020-04-19
60-69,1343,2020-04-19
70-79,705,2020-04-19
80-,482,2020-04-19
0-9,138,2020-04-19
10-19,578,2020-04-19
20-29,2921,2020-04-19
30-39,1137,2020-04-19
40-49,1412,2020-04-19
50-59,1945,2020-04-19
60-69,1343,2020-04-19
70-79,705,2020-04-19
80-,482,2020-04-19
0-9,138,2020-04-18
10-19,576,2020-04-18
20-29,2918,2020-04-18
30-39,1136,2020-04-18
40-49,1412,2020-04-18
50-59,1944,2020-04-18
60-69,1343,2020-04-18
70-79,705,2020-04-18
80-,481,2020-04-18
0-9,136,2020-04-17
10-19,576,2020-04-17
20-29,2909,2020-04-17
30-39,1135,2020-04-17
40-49,1411,2020-04-17
50-59,1942,2020-04-17
60-69,1342,2020-04-17
70-79,704,2020-04-17
80-,480,2020-04-17
0-9,135,2020-04-16
10-19,572,2020-04-16
20-29,2900,2020-04-16
30-39,1132,2020-04-16
40-49,1410,2020-04-16
50-59,1940,2020-04-16
60-69,1341,2020-04-16
70-79,703,2020-04-16
80-,480,2020-04-16
0-9,135,2020-04-16
10-19,572,2020-04-16
20-29,2900,2020-04-16
30-39,1132,2020-04-16
40-49,1410,2020-04-16
50-59,1940,2020-04-16
60-69,1341,2020-04-16
70-79,703,2020-04-16
80-,480,2020-04-16
0-9,132,2020-04-15
10-19,569,2020-04-15
20-29,2895,2020-04-15
30-39,1131,2020-04-15
40-49,1408,2020-04-15
50-59,1937,2020-04-15
60-69,1339,2020-04-15
70-79,702,2020-04-15
80-,478,2020-04-15
0-9,132,2020-04-14
10-19,565,2020-04-14
20-29,2886,2020-04-14
30-39,1126,2020-04-14
40-49,1405,2020-04-14
50-59,1935,2020-04-14
60-69,1338,2020-04-14
70-79,700,2020-04-14
80-,477,2020-04-14
0-9,132,2020-04-13
10-19,562,2020-04-13
20-29,2879,2020-04-13
30-39,1122,2020-04-13
40-49,1401,2020-04-13
50-59,1932,2020-04-13
60-69,1335,2020-04-13
70-79,698,2020-04-13
80-,476,2020-04-13
0-9,130,2020-04-12
10-19,561,2020-04-12
20-29,2869,2020-04-12
30-39,1120,2020-04-12
40-49,1400,2020-04-12
50-59,1930,2020-04-12
60-69,1330,2020-04-12
70-79,697,2020-04-12
80-,475,2020-04-12
0-9,130,2020-04-11
10-19,558,2020-04-11
20-29,2856,2020-04-11
30-39,1115,2020-04-11
40-49,1399,2020-04-11
50-59,1926,2020-04-11
60-69,1327,2020-04-11
70-79,694,2020-04-11
80-,475,2020-04-11
0-9,129,2020-04-10
10-19,553,2020-04-10
20-29,2851,2020-04-10
30-39,1113,2020-04-10
40-49,1396,2020-04-10
50-59,1920,2020-04-10
60-69,1320,2020-04-10
70-79,694,2020-04-10
80-,474,2020-04-10
0-9,128,2020-04-09
10-19,552,2020-04-09
20-29,2844,2020-04-09
30-39,1109,2020-04-09
40-49,1394,2020-04-09
50-59,1917,2020-04-09
60-69,1314,2020-04-09
70-79,692,2020-04-09
80-,473,2020-04-09
0-9,126,2020-04-08
10-19,548,2020-04-08
20-29,2832,2020-04-08
30-39,1102,2020-04-08
40-49,1387,2020-04-08
50-59,1915,2020-04-08
60-69,1312,2020-04-08
70-79,692,2020-04-08
80-,470,2020-04-08
0-9,126,2020-04-08
10-19,548,2020-04-08
20-29,2832,2020-04-08
30-39,1102,2020-04-08
40-49,1387,2020-04-08
50-59,1915,2020-04-08
60-69,1312,2020-04-08
70-79,692,2020-04-08
80-,470,2020-04-08
0-9,126,2020-04-08
10-19,548,2020-04-08
20-29,2832,2020-04-08
30-39,1102,2020-04-08
40-49,1387,2020-04-08
50-59,1915,2020-04-08
60-69,1312,2020-04-08
70-79,692,2020-04-08
80-,470,2020-04-08
0-9,126,2020-04-08
10-19,548,2020-04-08
20-29,2832,2020-04-08
30-39,1102,2020-04-08
40-49,1387,2020-04-08
50-59,1915,2020-04-08
60-69,1312,2020-04-08
70-79,692,2020-04-08
80-,470,2020-04-08
0-9,126,2020-04-08
10-19,548,2020-04-08
20-29,2832,2020-04-08
30-39,1102,2020-04-08
40-49,1387,2020-04-08
50-59,1915,2020-04-08
60-69,1312,2020-04-08
70-79,692,2020-04-08
80-,470,2020-04-08
0-11,1,2020-04-07
0-9,126,2020-04-07
10-19,544,2020-04-07
20-29,2819,2020-04-07
30-39,1092,2020-04-07
40-49,1382,2020-04-07
50-59,1909,2020-04-07
60-69,1304,2020-04-07
70-79,689,2020-04-07
80-,466,2020-04-07
0-9,112,2020-04-02
10-19,515,2020-04-02
20-29,2656,2020-04-02
30-39,1012,2020-04-02
40-49,1312,2020-04-02
50-59,1851,2020-04-02
60-69,1235,2020-04-02
70-79,651,2020-04-02
80-,442,2020-04-02
